Time,44878.mode
2022-07-08 03:00:00,1188
2022-07-10 03:00:00,1188
2022-07-11 03:00:00,1188
2022-07-12 03:00:00,1188
2022-07-13 03:00:00,1188
2022-07-14 03:00:00,1188
2022-07-15 03:00:00,1188
2022-07-16 03:00:00,1188
2022-07-20 03:00:00,1191
2022-07-21 03:00:00,1191
2022-07-22 03:00:00,1191
2022-07-23 03:00:00,1191
2022-07-24 03:00:00,1191
2022-07-25 03:00:00,1191
2022-07-26 03:00:00,1191
2022-07-27 03:00:00,1192
2022-07-28 03:00:00,1192
2022-07-29 03:00:00,1192
2022-07-30 03:00:00,1192
2022-07-31 03:00:00,1192
2022-08-01 03:00:00,1192
2022-08-02 03:00:00,1192
2022-08-03 03:00:00,1192
2022-08-04 03:00:00,1192
2022-08-05 03:00:00,1192
2022-08-06 03:00:00,1192
2022-08-07 03:00:00,1192
2022-08-08 03:00:00,1192
2022-08-09 03:00:00,1192
2022-08-10 03:00:00,1192
2022-08-11 03:00:00,1192
2022-08-12 03:00:00,1192
2022-08-13 03:00:00,1192
2022-08-14 03:00:00,1192
2022-08-15 03:00:00,1192
2022-08-16 03:00:00,1192
2022-08-17 03:00:00,1192
2022-08-18 03:00:00,1192
2022-08-19 03:00:00,1192
2022-08-20 03:00:00,1193
2022-08-21 03:00:00,1193
2022-08-22 03:00:00,1193
2022-08-23 03:00:00,1193
2022-08-24 03:00:00,1193
2022-08-25 03:00:00,1193
2022-08-26 03:00:00,1193
2022-08-27 03:00:00,1193
2022-08-28 03:00:00,1193
2022-08-29 03:00:00,1193
2022-08-30 03:00:00,1193
2022-08-31 03:00:00,1193
2022-09-01 03:00:00,1193
2022-09-02 03:00:00,1194
2022-09-03 03:00:00,1194
2022-09-04 03:00:00,1194
2022-09-05 03:00:00,1194
2022-09-06 03:00:00,1194
2022-09-07 03:00:00,1195
2022-09-08 03:00:00,1195
2022-09-09 03:00:00,1195
2022-09-10 03:00:00,1195
2022-09-11 03:00:00,1196
2022-09-12 03:00:00,1196
2022-09-13 03:00:00,1196
2022-09-14 03:00:00,1199
2022-09-15 03:00:00,1199
2022-09-16 03:00:00,1199
2022-09-17 03:00:00,1199
2022-09-18 03:00:00,1199
2022-09-20 03:00:00,1199
2022-09-22 03:00:00,1199
2022-09-23 03:00:00,1199
2022-09-24 03:00:00,1200
2022-09-25 03:00:00,1200
2022-09-26 03:00:00,1200
2022-09-27 03:00:00,1200
2022-09-28 03:00:00,1200
2022-09-29 03:00:00,1200
2022-09-30 03:00:00,1200
2022-10-01 03:00:00,1200
2022-10-02 03:00:00,1200
2022-10-03 03:00:00,1200
2022-10-04 03:00:00,1200
2022-10-05 03:00:00,1201
2022-10-06 03:00:00,1202
2022-10-07 03:00:00,1204
2022-10-08 03:00:00,1204
2022-10-09 03:00:00,1204
2022-10-10 03:00:00,1204
2022-10-11 03:00:00,1204
2022-10-12 03:00:00,1204
2022-10-13 03:00:00,1204
2022-10-14 03:00:00,1204
2022-10-15 03:00:00,1204
2022-10-16 03:00:00,1204
2022-10-17 03:00:00,1204
2022-10-18 03:00:00,1204
2022-10-19 03:00:00,1204
2022-10-20 03:00:00,1204
2022-10-21 03:00:00,1204
2022-10-22 03:00:00,1204
2022-10-23 03:00:00,1204
2022-10-24 03:00:00,1204
2022-10-25 03:00:00,1204
2022-10-26 03:00:00,1204
2022-10-27 03:00:00,1204
2022-10-28 03:00:00,1204
2022-10-29 03:00:00,1204
2022-10-30 03:00:00,1204
2022-10-31 03:00:00,1204
2022-11-01 03:00:00,1204
2022-11-02 03:00:00,1205
2022-11-03 03:00:00,1205
2022-11-04 03:00:00,1205
2022-11-05 03:00:00,1206
2022-11-06 03:00:00,1207
2022-11-07 03:00:00,1208
2022-11-08 03:00:00,1208
2022-11-09 03:00:00,1208
2022-11-10 03:00:00,1208
2022-11-11 03:00:00,1208
2022-11-12 03:00:00,1208
2022-11-13 03:00:00,1208
2022-11-14 03:00:00,1208
2022-11-15 03:00:00,1209
2022-11-16 03:00:00,1209
2022-11-17 03:00:00,1209
2022-11-18 03:00:00,1209
2022-11-19 03:00:00,1209
2022-11-20 03:00:00,1209
2022-11-21 03:00:00,1209
2022-11-22 03:00:00,1209
2022-11-23 03:00:00,1209
2022-11-24 03:00:00,1210
2022-11-25 03:00:00,1210
2022-11-26 03:00:00,1210
2022-11-27 03:00:00,1210
2022-11-28 03:00:00,1210
2022-11-29 03:00:00,1210
2022-11-30 03:00:00,1210
2022-12-01 03:00:00,1210
2022-12-02 03:00:00,1210
2022-12-03 03:00:00,1210
2022-12-04 03:00:00,1210
2022-12-05 03:00:00,1211
2022-12-06 03:00:00,1211
2022-12-07 03:00:00,1211
2022-12-08 03:00:00,1212
2022-12-09 03:00:00,1212
2022-12-10 03:00:00,1212
2022-12-11 03:00:00,1212
2022-12-12 03:00:00,1213
2022-12-13 03:00:00,1213
2022-12-14 03:00:00,1213
2022-12-15 03:00:00,1213
2022-12-16 03:00:00,1213
2022-12-17 03:00:00,1213
2022-12-18 03:00:00,1213
2022-12-19 03:00:00,1213
2022-12-20 03:00:00,1213
2022-12-21 03:00:00,1213
2022-12-22 03:00:00,1214
2022-12-23 03:00:00,1214
2022-12-24 03:00:00,1214
2022-12-25 03:00:00,1214
2022-12-26 03:00:00,1214
2022-12-27 03:00:00,1214
2022-12-28 03:00:00,1214
2022-12-29 03:00:00,1215
2022-12-30 03:00:00,1215
2022-12-31 03:00:00,1215
2023-01-01 03:00:00,1215
2023-01-02 03:00:00,1216
2023-01-03 03:00:00,1216
2023-01-04 03:00:00,1216
2023-01-05 03:00:00,1217
2023-01-06 03:00:00,1217
2023-01-07 03:00:00,1217
2023-01-08 03:00:00,1217
2023-01-09 03:00:00,1217
2023-01-10 03:00:00,1217
2023-01-11 03:00:00,1217
2023-01-12 03:00:00,1217
2023-01-13 03:00:00,1218
2023-01-14 03:00:00,1218
2023-01-15 03:00:00,1219
2023-01-16 03:00:00,1219
2023-01-17 03:00:00,1219
2023-01-18 03:00:00,1219
2023-01-19 03:00:00,1219
2023-01-20 03:00:00,1219
2023-01-21 03:00:00,1219
2023-01-22 03:00:00,1219
2023-01-23 03:00:00,1219
2023-01-24 03:00:00,1219
2023-01-25 03:00:00,1219
2023-01-26 03:00:00,1219
2023-01-27 03:00:00,1219
2023-01-28 03:00:00,1219
2023-01-29 03:00:00,1219
2023-01-30 03:00:00,1219
2023-01-31 03:00:00,1219
2023-02-01 03:00:00,1219
2023-02-02 03:00:00,1219
2023-02-03 03:00:00,1219
2023-02-04 03:00:00,1220
2023-02-05 03:00:00,1220
2023-02-06 03:00:00,1220
2023-02-07 03:00:00,1220
2023-02-08 03:00:00,1220
2023-02-09 03:00:00,1220
2023-02-10 03:00:00,1220
2023-02-11 03:00:00,1220
2023-02-12 03:00:00,1220
2023-02-13 03:00:00,1220
2023-02-14 03:00:00,1220
2023-02-15 03:00:00,1220
2023-02-16 03:00:00,1220
2023-02-17 03:00:00,1220
2023-02-18 03:00:00,1220
2023-02-19 03:00:00,1221
2023-02-20 03:00:00,1221
2023-02-21 03:00:00,1221
2023-02-22 03:00:00,1221
2023-02-23 03:00:00,1222
2023-02-24 03:00:00,1222
2023-02-25 03:00:00,1222
2023-02-26 03:00:00,1222
2023-02-27 03:00:00,1222
2023-02-28 03:00:00,1222
2023-03-01 03:00:00,1222
2023-03-02 03:00:00,1222
2023-03-03 03:00:00,1222
2023-03-04 03:00:00,1222
2023-03-05 03:00:00,1222
2023-03-06 03:00:00,1222
2023-03-07 03:00:00,1222
2023-03-08 03:00:00,1222
2023-03-09 03:00:00,1222
2023-03-10 03:00:00,1222
2023-03-11 03:00:00,1222
2023-03-12 03:00:00,1223
2023-03-13 03:00:00,1224
2023-03-14 03:00:00,1224
2023-03-15 03:00:00,1224
2023-03-16 03:00:00,1224
2023-03-17 03:00:00,1224
2023-03-18 03:00:00,1224
2023-03-19 03:00:00,1224
2023-03-20 03:00:00,1224
2023-03-21 03:00:00,1224
2023-03-22 03:00:00,1224
2023-03-23 03:00:00,1224
2023-03-24 03:00:00,1224
2023-03-25 03:00:00,1224
2023-03-26 03:00:00,1224
2023-03-27 03:00:00,1224
2023-03-28 03:00:00,1224
2023-03-29 03:00:00,1224
2023-03-30 03:00:00,1224
2023-03-31 03:00:00,1224
2023-04-01 03:00:00,1224
2023-04-02 03:00:00,1224
2023-04-03 03:00:00,1225
2023-04-04 03:00:00,1225
2023-04-05 03:00:00,1226
2023-04-06 03:00:00,1227
2023-04-07 03:00:00,1227
2023-04-08 03:00:00,1227
2023-04-09 03:00:00,1227
2023-04-10 03:00:00,1227
2023-04-11 03:00:00,1227
2023-04-12 03:00:00,1227
2023-04-13 03:00:00,1227
2023-04-14 03:00:00,1227
2023-04-15 03:00:00,1227
2023-04-16 03:00:00,1228
2023-04-17 03:00:00,1228
2023-04-18 03:00:00,1228
2023-04-19 03:00:00,1228
2023-04-20 03:00:00,1228
2023-04-21 03:00:00,1229
2023-04-22 03:00:00,1229
2023-04-23 03:00:00,1229
2023-04-24 03:00:00,1229
2023-04-25 03:00:00,1229
2023-04-26 03:00:00,1229
2023-04-27 03:00:00,1229
2023-04-28 03:00:00,1229
2023-04-29 03:00:00,1229
2023-04-30 03:00:00,1229
2023-05-01 03:00:00,1229
2023-05-02 03:00:00,1229
2023-05-03 03:00:00,1229
2023-05-04 03:00:00,1229
2023-05-05 03:00:00,1230
2023-05-06 03:00:00,1230
2023-05-07 03:00:00,1230
2023-05-08 03:00:00,1230
2023-05-09 03:00:00,1231
2023-05-10 03:00:00,1231
2023-05-11 03:00:00,1232
2023-05-12 03:00:00,1232
2023-05-13 03:00:00,1232
2023-05-14 03:00:00,1232
2023-05-15 03:00:00,1232
2023-05-16 03:00:00,1232
2023-05-17 03:00:00,1232
2023-05-18 03:00:00,1232
2023-05-19 03:00:00,1233
2023-05-20 03:00:00,1233
2023-05-21 03:00:00,1233
2023-05-22 03:00:00,1233
2023-05-23 03:00:00,1233
2023-05-24 03:00:00,1233
2023-05-25 03:00:00,1233
2023-05-26 03:00:00,1233
2023-05-27 03:00:00,1233
2023-05-28 03:00:00,1234
2023-05-29 03:00:00,1234
2023-05-30 03:00:00,1234
2023-05-31 03:00:00,1234
2023-06-01 03:00:00,1234
2023-06-02 03:00:00,1234
2023-06-03 03:00:00,1234
2023-06-04 03:00:00,1234
2023-06-05 03:00:00,1234
2023-06-06 03:00:00,1234
2023-06-07 03:00:00,1234
2023-06-08 03:00:00,1235
2023-06-09 03:00:00,1235
2023-06-10 03:00:00,1235
2023-06-11 03:00:00,1235
2023-06-12 03:00:00,1235
2023-06-13 03:00:00,1235
2023-06-14 03:00:00,1235
2023-06-15 03:00:00,1236
2023-06-16 03:00:00,1236
2023-06-17 03:00:00,1236
2023-06-18 03:00:00,1236
2023-06-19 03:00:00,1237
2023-06-20 03:00:00,1237
2023-06-21 03:00:00,1237
2023-06-22 03:00:00,1237
2023-06-23 03:00:00,1237
2023-06-24 03:00:00,1237
2023-06-25 03:00:00,1237
2023-06-27 03:00:00,1238
2023-06-28 03:00:00,1238
2023-06-29 03:00:00,1238
2023-06-30 03:00:00,1238
2023-07-01 03:00:00,1238
2023-07-02 03:00:00,1238
2023-07-03 03:00:00,1238
2023-07-04 03:00:00,1238
2023-07-05 03:00:00,1238
2023-07-06 03:00:00,1239
2023-07-07 03:00:00,1239
2023-07-08 03:00:00,1240
2023-07-09 03:00:00,1240
2023-07-10 03:00:00,1240
2023-07-11 03:00:00,1240
2023-07-12 03:00:00,1240
2023-07-13 03:00:00,1240
2023-07-14 03:00:00,1241
2023-07-15 03:00:00,1241
2023-07-16 03:00:00,1241
2023-07-17 03:00:00,1241
2023-07-18 03:00:00,1241
2023-07-19 03:00:00,1241
2023-07-20 03:00:00,1242
2023-07-21 03:00:00,1244
2023-07-23 03:00:00,1244
2023-07-24 03:00:00,1245
2023-07-25 03:00:00,1245
2023-07-26 03:00:00,1245
2023-07-27 03:00:00,1245
2023-07-28 03:00:00,1246
2023-07-29 03:00:00,1246
2023-07-30 03:00:00,1246
2023-07-31 03:00:00,1246
2023-08-01 03:00:00,1246
2023-08-02 03:00:00,1246
2023-08-03 03:00:00,1246
2023-08-04 03:00:00,1246
2023-08-05 03:00:00,1246
2023-08-06 03:00:00,1246
2023-08-07 03:00:00,1247
2023-08-08 03:00:00,1247
2023-08-09 03:00:00,1247
2023-08-10 03:00:00,1247
2023-08-11 03:00:00,1247
2023-08-12 03:00:00,1247
2023-08-13 03:00:00,1248
2023-08-14 03:00:00,1248
2023-08-15 03:00:00,1248
2023-08-16 03:00:00,1248
2023-08-17 03:00:00,1248
2023-08-18 03:00:00,1248
2023-08-19 03:00:00,1248
2023-08-20 03:00:00,1248
2023-08-21 03:00:00,1250
2023-08-22 03:00:00,1250
2023-08-23 03:00:00,1250
2023-08-24 03:00:00,1250
2023-08-25 03:00:00,1250
2023-08-26 03:00:00,1250
2023-08-27 03:00:00,1250
2023-08-28 03:00:00,1250
2023-08-29 03:00:00,1250
2023-08-30 03:00:00,1251
2023-08-31 03:00:00,1253
2023-09-01 03:00:00,1253
2023-09-02 03:00:00,1253
2023-09-03 03:00:00,1254
2023-09-04 03:00:00,1254
2023-09-05 03:00:00,1254
2023-09-06 03:00:00,1254
2023-09-07 03:00:00,1254
2023-09-08 03:00:00,1254
2023-09-09 03:00:00,1254
2023-09-10 03:00:00,1254
2023-09-11 03:00:00,1254
2023-09-12 03:00:00,1254
2023-09-13 03:00:00,1254
2023-09-14 03:00:00,1254
2023-09-15 03:00:00,1254
2023-09-16 03:00:00,1254
2023-09-17 03:00:00,1254
2023-09-18 03:00:00,1255
2023-09-19 03:00:00,1256
2023-09-20 03:00:00,1258
2023-09-21 03:00:00,1259
2023-09-22 03:00:00,1260
2023-09-23 03:00:00,1260
2023-09-24 03:00:00,1263
2023-09-25 03:00:00,1263
2023-09-26 03:00:00,1263
2023-09-27 03:00:00,1265
2023-09-28 03:00:00,1265
2023-09-29 03:00:00,1265
2023-09-30 03:00:00,1266
2023-10-03 03:00:00,1267
2023-10-04 03:00:00,1267
2023-10-05 03:00:00,1267
2023-10-07 03:00:00,1268
2023-10-08 03:00:00,1268
2023-10-09 03:00:00,1268
2023-10-10 03:00:00,1268
2023-10-11 03:00:00,1268
2023-10-12 03:00:00,1268
2023-10-13 03:00:00,1269
2023-10-14 03:00:00,1269
2023-10-15 03:00:00,1269
2023-10-16 03:00:00,1269
2023-10-17 03:00:00,1269
2023-10-18 03:00:00,1269
2023-10-19 03:00:00,1269
2023-10-20 03:00:00,1269
2023-10-21 03:00:00,1270
2023-10-22 03:00:00,1270
2023-10-23 03:00:00,1270
2023-10-24 03:00:00,1271
2023-10-25 03:00:00,1271
2023-10-26 03:00:00,1272
2023-10-27 03:00:00,1272
2023-10-28 03:00:00,1273
2023-10-29 03:00:00,1273
2023-10-30 03:00:00,1273
2023-10-31 03:00:00,1273
2023-11-01 03:00:00,1273
2023-11-02 03:00:00,1275
2023-11-03 03:00:00,1275
2023-11-04 03:00:00,1275
2023-11-05 03:00:00,1275
2023-11-06 03:00:00,1275
2023-11-07 03:00:00,1275
2023-11-08 03:00:00,1275
2023-11-09 03:00:00,1275
2023-11-10 03:00:00,1275
2023-11-11 03:00:00,1278
2023-11-12 03:00:00,1278
2023-11-13 03:00:00,1279
2023-11-14 03:00:00,1279
2023-11-15 03:00:00,1279
2023-11-16 03:00:00,1280
2023-11-17 03:00:00,1281
2023-11-18 03:00:00,1281
2023-11-19 03:00:00,1281
2023-11-20 03:00:00,1281
2023-11-21 03:00:00,1281
2023-11-22 03:00:00,1281
2023-11-23 03:00:00,1281
2023-11-24 03:00:00,1281
2023-11-25 03:00:00,1281
2023-11-26 03:00:00,1281
2023-11-27 03:00:00,1282
2023-11-28 03:00:00,1282
2023-11-29 03:00:00,1282
2023-11-30 03:00:00,1282
2023-12-01 03:00:00,1282
2023-12-02 03:00:00,1282
2023-12-03 03:00:00,1282
2023-12-04 03:00:00,1282
2023-12-05 03:00:00,1282
2023-12-06 03:00:00,1282
2023-12-07 03:00:00,1282
2023-12-08 03:00:00,1283
2023-12-09 03:00:00,1283
2023-12-10 03:00:00,1283
2023-12-11 03:00:00,1284
2023-12-12 03:00:00,1285
2023-12-13 03:00:00,1285
2023-12-14 03:00:00,1285
2023-12-15 03:00:00,1286
2023-12-16 03:00:00,1286
2023-12-17 03:00:00,1286
2023-12-18 03:00:00,1287
2023-12-19 03:00:00,1288
2023-12-20 03:00:00,1288
2023-12-21 03:00:00,1288
2023-12-22 03:00:00,1288
2023-12-23 03:00:00,1288
2023-12-24 03:00:00,1288
2023-12-25 03:00:00,1288
2023-12-26 03:00:00,1288
2023-12-27 03:00:00,1288
2023-12-28 03:00:00,1288
2023-12-29 03:00:00,1288
2023-12-30 03:00:00,1290
2023-12-31 03:00:00,1290
2024-01-01 03:00:00,1290
2024-01-02 03:00:00,1291
2024-01-03 03:00:00,1292
2024-01-04 03:00:00,1293
2024-01-05 03:00:00,1295
2024-01-06 03:00:00,1295
2024-01-07 03:00:00,1295
2024-01-08 03:00:00,1295
2024-01-09 03:00:00,1295
2024-01-10 03:00:00,1295
2024-01-15 03:00:00,1301
2024-01-16 03:00:00,1301
2024-01-17 03:00:00,1301
2024-01-18 03:00:00,1301
2024-01-19 03:00:00,1301
2024-01-21 03:00:00,1302
2024-01-22 03:00:00,1302
2024-01-23 03:00:00,1302
2024-01-24 03:00:00,1302
2024-01-25 03:00:00,1304
2024-01-26 03:00:00,1304
2024-01-27 03:00:00,1304
2024-01-28 03:00:00,1304
2024-01-29 03:00:00,1305
2024-01-30 03:00:00,1305
2024-01-31 03:00:00,1305
2024-02-01 03:00:00,1305
2024-02-02 03:00:00,1305
2024-02-03 03:00:00,1305
2024-02-04 03:00:00,1305
2024-02-05 03:00:00,1305
